"Time",pm10
2024-10-01 22:00:00,0.0448
2024-10-01 23:00:00,0.0489
2024-10-02 00:00:00,0.0498
2024-10-02 01:00:00,0.0477
2024-10-02 02:00:00,0.0310
2024-10-02 03:00:00,0.0365
2024-10-02 04:00:00,0.0486
2024-10-02 05:00:00,0.0443
2024-10-02 06:00:00,0.0426
2024-10-02 07:00:00,0.0336
2024-10-02 08:00:00,0.0345
2024-10-02 09:00:00,0.0379
2024-10-02 10:00:00,0.0395
2024-10-02 11:00:00,0.0506
2024-10-02 12:00:00,0.0432
2024-10-02 13:00:00,0.0420
2024-10-02 14:00:00,0.0317
2024-10-02 15:00:00,0.0390
2024-10-02 16:00:00,0.0431
2024-10-02 17:00:00,0.0357
2024-10-02 18:00:00,0.0384
2024-10-02 19:00:00,0.0488
2024-10-02 20:00:00,0.0444
2024-10-02 21:00:00,0.0464
2024-10-02 22:00:00,0.0480
2024-10-02 23:00:00,0.0348
2024-10-03 00:00:00,0.0369
2024-10-03 01:00:00,0.0414
2024-10-03 02:00:00,0.0384
2024-10-03 03:00:00,0.0382
2024-10-03 04:00:00,0.0411
2024-10-03 05:00:00,0.0321
2024-10-03 06:00:00,0.0510
2024-10-03 07:00:00,0.0526
2024-10-03 08:00:00,0.0510
2024-10-03 09:00:00,0.0462
2024-10-03 10:00:00,0.0479
2024-10-03 11:00:00,0.0507
2024-10-03 12:00:00,0.0457
2024-10-03 13:00:00,0.0515
2024-10-03 14:00:00,0.0480
2024-10-03 15:00:00,0.0460
2024-10-03 16:00:00,0.0561
2024-10-03 17:00:00,0.0563
2024-10-03 18:00:00,0.0512
2024-10-03 19:00:00,0.0499
2024-10-03 20:00:00,0.0511
2024-10-03 21:00:00,0.0426
2024-10-03 22:00:00,0.0425
2024-10-03 23:00:00,0.0397
2024-10-04 00:00:00,0.0429
2024-10-04 01:00:00,0.0388
2024-10-04 02:00:00,0.0398
2024-10-04 03:00:00,0.0425
2024-10-04 04:00:00,0.0482
2024-10-04 05:00:00,0.0470
2024-10-04 06:00:00,0.0405
2024-10-04 07:00:00,0.0382
2024-10-04 08:00:00,0.0301
2024-10-04 09:00:00,0.0439
2024-10-04 10:00:00,0.0333
2024-10-04 11:00:00,0.0367
2024-10-04 12:00:00,0.0468
2024-10-04 13:00:00,0.0509
2024-10-04 14:00:00,0.0425
2024-10-04 15:00:00,0.0476
2024-10-04 16:00:00,0.0574
2024-10-04 17:00:00,0.0461
2024-10-04 18:00:00,0.0366
2024-10-04 19:00:00,0.0472
2024-10-04 20:00:00,0.0409
2024-10-04 21:00:00,0.0402
2024-10-04 22:00:00,0.0474
2024-10-04 23:00:00,0.0502
2024-10-05 00:00:00,0.0453
2024-10-05 01:00:00,0.0649
2024-10-05 02:00:00,0.0561
2024-10-05 03:00:00,0.0454
2024-10-05 04:00:00,0.0513
2024-10-05 05:00:00,0.0441
2024-10-05 06:00:00,0.0504
2024-10-05 07:00:00,0.0533
2024-10-05 08:00:00,0.0409
2024-10-05 09:00:00,0.0480
2024-10-05 10:00:00,0.0307
2024-10-05 11:00:00,0.0427
2024-10-05 12:00:00,0.0306
2024-10-05 13:00:00,0.0307
2024-10-05 14:00:00,0.0328
2024-10-05 15:00:00,0.0397
2024-10-05 16:00:00,0.0412
2024-10-05 17:00:00,0.0489
2024-10-05 18:00:00,0.0385
2024-10-05 19:00:00,0.0502
2024-10-05 20:00:00,0.0379
2024-10-05 21:00:00,0.0494
2024-10-05 22:00:00,0.0434
2024-10-05 23:00:00,0.0425
2024-10-06 00:00:00,0.0321
2024-10-06 01:00:00,0.0320
